[№],any_data,correct_first_symbol,correct_symbols,no_double_dot,no_eight_symbols_without_letter,correct_last_symbol,correct_amount_symbols,result,[blocked],[reason]
241,True,True,False,False,False,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
242,True,True,False,False,False,False,True,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
243,True,True,False,False,False,False,True,Недопустимые символы,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
244,True,True,False,False,False,False,True,Есть 2 точки подряд,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
245,True,True,False,False,False,False,True,8+ допустимых символов без букв,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
246,True,True,False,False,False,False,True,Недопустимый последний символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
247,True,True,False,False,False,False,True,Недопустимое количество символов,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
248,True,True,False,False,False,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
249,True,True,False,False,False,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
250,True,True,False,False,False,False,False,Недопустимый первый символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
251,True,True,False,False,False,False,False,Недопустимые символы,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
252,True,True,False,False,False,False,False,Есть 2 точки подряд,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
253,True,True,False,False,False,False,False,8+ допустимых символов без букв,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
254,True,True,False,False,False,False,False,Недопустимый последний символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
255,True,True,False,False,False,False,False,Недопустимое количество символов,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
256,True,False,True,True,True,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
257,True,False,True,True,True,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
258,True,False,True,True,True,True,True,Недопустимый первый символ,False,
259,True,False,True,True,True,True,True,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
260,True,False,True,True,True,True,True,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
261,True,False,True,True,True,True,True,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
262,True,False,True,True,True,True,True,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
263,True,False,True,True,True,True,True,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
264,True,False,True,True,True,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
265,True,False,True,True,True,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
266,True,False,True,True,True,True,False,Недопустимый первый символ,True,"Если недопустимое количество символов, то ошибка количества символов

"
267,True,False,True,True,True,True,False,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
268,True,False,True,True,True,True,False,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
269,True,False,True,True,True,True,False,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
270,True,False,True,True,True,True,False,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
271,True,False,True,True,True,True,False,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
272,True,False,True,True,True,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
273,True,False,True,True,True,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
274,True,False,True,True,True,False,True,Недопустимый первый символ,True,"Если последний символ некорректный, то ошибка последнего символа, дальше не проверяем

"
275,True,False,True,True,True,False,True,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
276,True,False,True,True,True,False,True,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
277,True,False,True,True,True,False,True,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
278,True,False,True,True,True,False,True,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
279,True,False,True,True,True,False,True,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
280,True,False,True,True,True,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
281,True,False,True,True,True,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
282,True,False,True,True,True,False,False,Недопустимый первый символ,True,"Если последний символ некорректный, то ошибка последнего символа, дальше не проверяем

"
283,True,False,True,True,True,False,False,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
284,True,False,True,True,True,False,False,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
285,True,False,True,True,True,False,False,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
286,True,False,True,True,True,False,False,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
287,True,False,True,True,True,False,False,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
288,True,False,True,True,False,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
289,True,False,True,True,False,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
290,True,False,True,True,False,True,True,Недопустимый первый символ,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
291,True,False,True,True,False,True,True,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
292,True,False,True,True,False,True,True,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
293,True,False,True,True,False,True,True,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
294,True,False,True,True,False,True,True,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
295,True,False,True,True,False,True,True,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
296,True,False,True,True,False,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
297,True,False,True,True,False,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
298,True,False,True,True,False,True,False,Недопустимый первый символ,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
299,True,False,True,True,False,True,False,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
300,True,False,True,True,False,True,False,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
301,True,False,True,True,False,True,False,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
302,True,False,True,True,False,True,False,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
303,True,False,True,True,False,True,False,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
304,True,False,True,True,False,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
305,True,False,True,True,False,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
306,True,False,True,True,False,False,True,Недопустимый первый символ,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
307,True,False,True,True,False,False,True,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
308,True,False,True,True,False,False,True,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
309,True,False,True,True,False,False,True,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
310,True,False,True,True,False,False,True,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
311,True,False,True,True,False,False,True,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
312,True,False,True,True,False,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
313,True,False,True,True,False,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
314,True,False,True,True,False,False,False,Недопустимый первый символ,True,"Если 8+ символов без букв, то ошибка 8+ символов без букв, дальше не проверяем

"
315,True,False,True,True,False,False,False,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
316,True,False,True,True,False,False,False,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
317,True,False,True,True,False,False,False,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
318,True,False,True,True,False,False,False,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
319,True,False,True,True,False,False,False,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
320,True,False,True,False,True,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
321,True,False,True,False,True,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
322,True,False,True,False,True,True,True,Недопустимый первый символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
323,True,False,True,False,True,True,True,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
324,True,False,True,False,True,True,True,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
325,True,False,True,False,True,True,True,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
326,True,False,True,False,True,True,True,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
327,True,False,True,False,True,True,True,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
328,True,False,True,False,True,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
329,True,False,True,False,True,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
330,True,False,True,False,True,True,False,Недопустимый первый символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
331,True,False,True,False,True,True,False,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
332,True,False,True,False,True,True,False,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
333,True,False,True,False,True,True,False,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
334,True,False,True,False,True,True,False,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
335,True,False,True,False,True,True,False,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
336,True,False,True,False,True,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
337,True,False,True,False,True,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
338,True,False,True,False,True,False,True,Недопустимый первый символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
339,True,False,True,False,True,False,True,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
340,True,False,True,False,True,False,True,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
341,True,False,True,False,True,False,True,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
342,True,False,True,False,True,False,True,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
343,True,False,True,False,True,False,True,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
344,True,False,True,False,True,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
345,True,False,True,False,True,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
346,True,False,True,False,True,False,False,Недопустимый первый символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
347,True,False,True,False,True,False,False,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
348,True,False,True,False,True,False,False,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
349,True,False,True,False,True,False,False,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
350,True,False,True,False,True,False,False,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
351,True,False,True,False,True,False,False,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
352,True,False,True,False,False,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
353,True,False,True,False,False,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
354,True,False,True,False,False,True,True,Недопустимый первый символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
355,True,False,True,False,False,True,True,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
356,True,False,True,False,False,True,True,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
357,True,False,True,False,False,True,True,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
358,True,False,True,False,False,True,True,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
359,True,False,True,False,False,True,True,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
360,True,False,True,False,False,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
361,True,False,True,False,False,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
362,True,False,True,False,False,True,False,Недопустимый первый символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
363,True,False,True,False,False,True,False,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
364,True,False,True,False,False,True,False,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
365,True,False,True,False,False,True,False,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
366,True,False,True,False,False,True,False,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
367,True,False,True,False,False,True,False,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
368,True,False,True,False,False,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
369,True,False,True,False,False,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
370,True,False,True,False,False,False,True,Недопустимый первый символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
371,True,False,True,False,False,False,True,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
372,True,False,True,False,False,False,True,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
373,True,False,True,False,False,False,True,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
374,True,False,True,False,False,False,True,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
375,True,False,True,False,False,False,True,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
376,True,False,True,False,False,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
377,True,False,True,False,False,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
378,True,False,True,False,False,False,False,Недопустимый первый символ,True,"Если есть точки подряд, то ошибка точек подряд, дальше не проверяем

"
379,True,False,True,False,False,False,False,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
380,True,False,True,False,False,False,False,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
381,True,False,True,False,False,False,False,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
382,True,False,True,False,False,False,False,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
383,True,False,True,False,False,False,False,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
384,True,False,False,True,True,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
385,True,False,False,True,True,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
386,True,False,False,True,True,True,True,Недопустимый первый символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
387,True,False,False,True,True,True,True,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
388,True,False,False,True,True,True,True,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
389,True,False,False,True,True,True,True,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
390,True,False,False,True,True,True,True,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
391,True,False,False,True,True,True,True,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
392,True,False,False,True,True,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
393,True,False,False,True,True,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
394,True,False,False,True,True,True,False,Недопустимый первый символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
395,True,False,False,True,True,True,False,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
396,True,False,False,True,True,True,False,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
397,True,False,False,True,True,True,False,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
398,True,False,False,True,True,True,False,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
399,True,False,False,True,True,True,False,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
400,True,False,False,True,True,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
401,True,False,False,True,True,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
402,True,False,False,True,True,False,True,Недопустимый первый символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
403,True,False,False,True,True,False,True,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
404,True,False,False,True,True,False,True,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
405,True,False,False,True,True,False,True,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
406,True,False,False,True,True,False,True,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
407,True,False,False,True,True,False,True,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
408,True,False,False,True,True,False,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
409,True,False,False,True,True,False,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
410,True,False,False,True,True,False,False,Недопустимый первый символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
411,True,False,False,True,True,False,False,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
412,True,False,False,True,True,False,False,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
413,True,False,False,True,True,False,False,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
414,True,False,False,True,True,False,False,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
415,True,False,False,True,True,False,False,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
416,True,False,False,True,False,True,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
417,True,False,False,True,False,True,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
418,True,False,False,True,False,True,True,Недопустимый первый символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
419,True,False,False,True,False,True,True,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
420,True,False,False,True,False,True,True,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
421,True,False,False,True,False,True,True,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
422,True,False,False,True,False,True,True,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
423,True,False,False,True,False,True,True,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
424,True,False,False,True,False,True,False,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
425,True,False,False,True,False,True,False,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
426,True,False,False,True,False,True,False,Недопустимый первый символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
427,True,False,False,True,False,True,False,Недопустимые символы,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
428,True,False,False,True,False,True,False,Есть 2 точки подряд,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
429,True,False,False,True,False,True,False,8+ допустимых символов без букв,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
430,True,False,False,True,False,True,False,Недопустимый последний символ,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
431,True,False,False,True,False,True,False,Недопустимое количество символов,True,"Если первый символ некорректный, то ошибка первого символа, дальше не проверяем

"
432,True,False,False,True,False,False,True,Успех,True,"Если все проверки успешны, то всегда успех. Если не все, то всегда ошибка

"
433,True,False,False,True,False,False,True,Нет данных,True,"Если нет данных, то всегда ошибка данных, дальше не проверяем

"
434,True,False,False,True,False,False,True,Недопустимый первый символ,True,"Если есть некорректные символы, то ошибка некорректных символов, дальше не проверяем

"
